soil_moisture,temperature,humidity,rainfall,irrigation_level
81.55,22.15,72.18,83.62,0
70.69,49.32,81.94,46.72,1
72.9,20.97,54.4,32.16,1
77.13,18.11,24.87,56.12,1
7.4,27.69,47.32,26.05,3
35.85,12.27,80.77,40.12,1
11.59,49.14,47.16,33.26,3
86.31,33.54,72.69,80.41,0
62.33,32.28,55.65,92.43,1
33.09,36.23,31.71,75.96,2
6.36,29.88,81.65,43.91,2
31.1,11.28,17.58,50.43,2
32.52,34.49,57.24,12.51,2
72.96,38.65,28.8,74.69,1
63.76,26.67,16.04,59.65,1
88.72,40.29,55.26,90.24,0
47.22,19.08,54.96,20.06,2
11.96,18.85,73.62,75.97,2
71.32,16.46,77.03,68.47,0
76.08,24.88,75.5,26.58,1
56.13,43.88,46.86,66.74,1
77.1,43.12,66.85,92.44,1
49.38,25.31,61.93,91.84,1
52.27,33.56,47.94,71.96,1
42.75,38.83,63.75,4.81,2
2.54,19.65,95.25,87.23,2
10.79,16.73,27.36,65.78,2
3.14,48.88,91.52,31.04,2
63.64,34.7,14.81,18.73,2
31.44,49.26,37.76,11.62,3
50.86,23.51,35.93,5.02,2
90.76,38.12,66.37,75.41,0
24.93,18.9,21.81,23.58,2
41.04,20.45,89.41,2.43,2
75.56,30.48,84.57,39.73,1
22.88,22.78,68.69,48.26,2
7.7,16.7,51.26,16.92,2
28.98,20.52,93.97,4.4,2
16.12,11.43,84.77,18.91,2
92.97,38.18,54.94,67.91,1
80.81,29.68,73.17,8.22,1
63.34,13.77,61.02,55.5,1
87.15,16.87,62.91,14.64,1
80.37,14.1,39.79,19.57,1
18.66,34.5,51.59,39.31,2
89.26,13.77,17.03,10.08,1
53.93,40.17,42.16,17.32,2
80.74,10.82,72.62,34.9,1
89.61,19.98,95.79,32.97,0
31.8,45.63,96.68,74.93,1
11.01,38.74,60.02,7.48,3
22.79,12.92,64.6,86.05,1
42.71,42.85,26.71,81.62,2
81.8,29.72,72.58,76.6,0
86.07,43.87,16.36,30.94,1
0.7,34.03,35.62,82.29,2
51.07,37.27,70.15,18.28,2
41.74,49.74,37.93,12.44,2
22.21,19.29,14.49,4.5,3
11.99,34.96,84.87,93.93,2
33.76,28.41,37.93,30.8,2
94.29,11.58,15.68,91.76,0
32.32,10.58,16.73,27.26,2
51.88,14.77,32.66,90.76,1
70.3,35.96,26.02,90.39,1
36.36,32.69,79.69,92.37,1
97.18,32.14,38.95,49.62,1
96.24,11.27,82.42,86.59,0
25.18,28.77,25.65,95.08,2
49.72,46.98,54.36,32.46,2
30.09,25.9,71.92,41.89,2
28.48,35.0,68.68,71.92,2
3.69,41.19,64.1,30.04,3
60.96,41.36,93.23,75.38,1
50.27,30.77,30.57,7.39,2
5.15,44.32,54.43,52.35,3
27.86,25.66,89.56,12.23,2
90.83,45.55,17.01,29.33,1
23.96,19.61,15.03,25.86,2
14.49,21.21,31.0,83.89,2
48.95,12.12,66.97,19.35,1
98.57,41.82,33.39,80.84,1
24.21,26.68,27.12,79.4,2
67.21,19.16,51.29,49.89,1
76.16,19.27,65.22,23.38,1
23.76,46.06,32.37,22.69,3
72.82,43.36,37.06,46.49,1
36.78,32.14,65.22,0.88,2
63.23,34.64,95.12,53.14,1
63.35,28.97,70.73,95.28,1
53.58,25.67,80.46,15.47,1
9.03,46.62,43.01,57.33,3
83.53,15.02,34.5,96.18,0
32.08,26.74,50.88,86.05,2
18.65,23.78,82.64,85.04,1
4.08,29.93,51.07,82.18,2
59.09,28.31,86.21,30.9,1
67.76,30.76,98.99,89.06,0
1.66,15.6,16.48,94.13,2
51.21,30.53,14.09,49.58,2
22.65,19.7,23.46,35.46,2
64.52,17.37,44.59,41.42,1
17.44,12.59,21.79,33.42,2
69.09,40.51,88.36,21.24,1
38.67,27.1,12.08,61.84,2
93.67,35.07,38.42,56.26,1
13.75,39.1,26.62,46.26,3
34.11,37.17,93.84,9.58,2
11.35,28.82,70.25,79.69,2
92.47,25.52,92.08,17.49,0
87.73,25.04,97.51,11.46,0
25.79,35.6,54.74,62.31,2
66.0,29.79,31.09,39.86,1
81.72,43.97,27.44,5.98,2
55.52,44.99,30.06,35.56,2
52.97,16.82,73.77,77.18,1
24.19,15.45,13.64,61.52,2
9.31,35.22,14.62,36.28,3
89.72,22.05,64.73,19.18,1
90.04,10.74,67.79,63.18,0
63.31,45.55,69.87,88.76,1
33.9,19.08,43.47,64.63,2
34.92,47.17,82.54,81.29,1
72.6,38.7,58.03,52.15,1
89.71,40.51,19.49,71.8,1
88.71,18.06,81.74,89.62,0
77.99,19.37,95.78,77.32,0
64.2,30.85,15.4,90.99,1
8.41,16.88,45.22,43.11,2
16.16,22.22,53.88,90.42,2
89.86,22.86,23.18,62.16,1
60.64,16.39,88.09,87.0,0
0.92,18.21,35.57,3.94,3
10.15,41.54,80.47,65.79,2
66.35,16.69,70.39,84.8,1
0.51,11.14,63.82,17.42,2
16.08,35.17,27.29,66.18,2
54.87,49.04,29.86,82.5,2
69.19,23.25,14.26,28.79,2
65.2,14.75,31.66,40.52,1
22.43,32.82,41.09,56.95,2
71.22,46.25,84.98,51.92,1
23.72,41.36,42.98,3.92,3
32.54,34.9,77.92,9.87,2
74.65,22.6,49.55,10.05,1
64.96,31.68,80.64,26.23,1
84.92,13.65,97.86,24.59,0
65.76,37.16,31.59,74.22,1
56.83,39.0,87.61,57.27,1
9.37,48.6,65.96,76.4,2
36.77,20.42,83.56,6.99,2
26.52,10.74,68.64,48.52,2
24.4,31.82,48.16,32.38,2
97.3,38.27,30.53,84.99,1
39.31,41.62,16.3,70.78,2
89.2,17.75,58.2,86.93,0
63.11,20.47,99.13,4.64,1
79.48,30.5,76.42,72.08,0
50.26,23.22,39.46,54.0,1
57.69,44.42,84.45,82.5,1
49.25,28.95,79.21,50.72,1
19.52,41.98,35.35,54.02,2
72.25,33.22,11.29,5.18,2
28.08,40.92,20.63,66.85,2
2.43,23.31,88.96,27.31,2
64.55,43.26,85.29,1.97,1
17.71,20.98,36.57,6.64,2
94.05,31.84,35.67,95.73,0
95.39,18.56,81.36,34.61,0
91.49,29.02,94.4,86.81,0
37.02,22.73,80.12,95.97,1
1.55,20.67,64.5,94.33,2
92.83,48.68,31.84,88.17,1
42.82,16.4,57.32,89.48,1
96.67,41.49,31.02,28.9,1
96.36,49.37,82.72,15.15,1
85.3,10.8,44.83,63.93,1
29.44,37.96,85.03,48.81,2
38.51,20.12,44.34,9.87,2
85.11,11.62,84.17,67.75,0
31.69,26.12,40.0,56.29,2
16.95,47.41,49.61,86.31,2
55.68,10.47,65.39,60.92,1
93.62,33.52,16.33,57.39,1
69.6,30.06,95.34,44.08,1
57.01,44.94,61.62,46.28,1
9.72,13.36,55.7,95.44,2
61.5,37.26,85.55,13.84,1
99.01,37.2,87.92,44.62,0
14.01,36.76,57.0,65.58,2
51.83,47.69,93.45,43.3,1
87.74,42.92,15.83,28.32,1
74.08,11.68,20.19,28.74,1
69.7,28.84,63.71,23.37,1
70.25,25.92,41.87,34.39,1
35.95,22.41,51.78,87.17,1
29.36,28.05,39.53,50.52,2
80.94,25.37,46.43,24.02,1
81.01,27.29,84.04,38.45,1
86.71,49.17,63.41,10.58,1
91.32,13.55,99.76,90.4,0
51.13,46.89,80.82,40.82,1
50.15,29.21,34.63,98.04,1
79.83,34.95,33.79,34.75,1
65.0,43.21,40.23,83.64,1
70.2,24.42,85.89,25.64,1
79.58,27.22,12.46,7.62,2
89.0,26.38,30.72,3.17,1
33.8,24.99,91.44,60.62,1
37.56,47.02,67.59,31.16,2
9.4,43.16,30.42,44.35,3
57.83,14.36,29.72,81.86,1
3.59,14.32,87.64,24.81,2
46.56,27.11,90.44,30.87,1
54.26,13.95,33.05,84.53,1
28.65,34.76,47.85,49.28,2
59.08,15.75,85.11,82.77,1
3.05,30.89,79.39,37.45,2
3.73,10.29,83.25,39.84,2
82.26,22.66,56.66,16.71,1
36.02,37.09,92.04,91.63,1
12.71,29.36,39.34,89.68,2
52.22,49.13,24.1,98.42,2
77.0,44.96,73.79,40.24,1
21.58,24.36,58.54,81.86,2
62.29,11.82,86.91,41.5,1
8.53,43.83,17.3,45.43,3
5.17,46.45,85.93,83.0,2
53.14,42.83,36.4,17.74,2
54.06,15.12,68.94,22.03,1
63.74,49.92,13.61,31.47,2
72.61,20.34,64.86,78.82,1
97.59,38.97,74.55,37.27,1
51.63,46.32,43.19,35.82,2
32.3,19.43,29.39,99.88,2
79.52,46.33,58.39,38.38,1
27.08,22.38,84.99,24.78,2
43.9,49.06,39.12,62.32,2
7.85,21.25,32.72,80.19,2
2.54,48.14,35.1,6.96,3
96.26,12.14,95.42,61.89,0
83.6,38.37,42.33,3.57,1
69.6,31.28,10.32,52.63,2
40.9,29.12,80.35,25.7,2
17.33,18.94,72.93,30.66,2
15.64,38.22,21.57,46.71,3
25.02,17.63,98.64,92.71,1
54.92,32.11,64.73,71.07,1
71.46,20.13,55.07,93.68,1
66.02,48.22,44.4,66.0,1
27.99,11.15,90.88,0.71,2
95.49,17.99,31.96,26.56,1
73.79,19.69,35.72,90.58,1
55.44,26.56,21.02,64.34,2
61.17,19.31,78.32,98.16,0
41.96,29.65,63.6,15.6,2
24.77,44.9,64.82,29.67,2
35.6,38.48,29.66,36.24,2
75.78,33.2,68.61,32.66,1
1.44,13.56,78.89,25.2,2
11.61,37.76,42.21,44.35,2
4.6,16.66,82.12,64.23,2
4.07,41.45,41.39,31.13,3
85.55,20.0,78.23,7.97,1
70.37,26.68,13.04,70.85,1
47.42,24.02,59.6,45.9,1
9.78,44.35,97.26,55.65,2
49.16,15.06,98.31,45.54,1
47.35,32.63,35.36,89.04,1
17.32,15.68,49.73,55.87,2
43.39,38.19,15.67,92.33,2
39.85,46.2,88.6,51.06,2
61.59,27.38,61.17,29.26,1
63.51,29.52,44.66,35.54,1
4.53,47.1,20.15,52.21,3
37.46,30.84,95.21,53.0,1
62.59,29.5,57.72,68.73,1
50.31,33.13,35.46,22.45,2
85.65,37.57,41.52,65.88,1
65.87,14.28,34.36,77.86,1
16.29,42.84,64.16,67.66,2
7.06,27.42,93.7,48.18,2
64.24,12.89,87.1,99.17,0
2.65,41.45,51.43,40.48,3
58.58,25.08,84.38,10.66,1
94.02,14.01,48.08,82.15,0
57.55,35.35,32.71,21.22,2
38.82,45.21,98.51,71.33,1
64.33,45.51,37.35,17.9,2
45.83,48.31,39.14,1.69,2
54.56,44.71,99.07,15.98,1
94.15,10.09,22.05,37.7,1
38.61,25.21,78.45,10.66,2
96.12,42.74,94.22,19.77,1
90.54,24.65,56.06,76.46,0
19.58,34.06,10.23,76.99,2
6.94,34.25,43.76,81.75,2
10.08,24.6,20.04,84.12,2
1.82,46.18,47.46,42.04,3
9.44,30.13,81.1,86.75,2
68.3,28.59,49.48,52.59,1
7.12,49.9,48.87,47.06,3
31.9,29.74,60.11,71.85,2
84.49,17.14,62.35,21.38,1
2.33,30.52,87.07,78.95,2
81.45,42.56,37.75,42.95,1
28.19,41.07,83.95,12.73,2
11.82,41.54,60.93,11.93,3
69.67,38.32,37.05,16.49,2
62.89,20.17,36.56,89.06,1
87.75,44.48,42.5,99.09,1
73.51,45.74,66.04,35.7,1
80.35,17.77,30.77,29.21,1
28.2,15.22,92.83,21.88,2
17.74,49.02,61.74,82.38,2
75.06,44.73,92.8,20.92,1
80.68,45.73,14.18,92.41,1
99.05,45.46,40.84,66.74,1
41.26,31.67,12.05,89.71,2
37.2,35.86,34.5,55.4,2
77.64,31.81,87.58,69.07,0
34.08,12.05,13.29,61.95,2
93.08,39.82,49.25,83.12,1
85.84,30.21,20.58,83.59,1
42.9,35.91,47.52,58.98,2
75.09,30.11,85.5,63.25,1
75.45,29.67,66.08,92.19,1
10.31,16.87,76.31,92.99,2
90.26,21.15,41.42,66.42,1
50.53,16.35,95.0,0.78,1
82.65,17.83,73.83,10.44,1
32.0,48.92,47.96,85.79,2
89.55,16.12,48.38,8.47,1
38.92,20.77,92.68,21.35,1
1.08,33.62,61.88,23.05,3
90.54,34.41,73.57,60.02,0
9.13,16.16,47.53,57.66,2
31.93,41.75,30.13,28.94,2
95.01,41.41,75.12,20.76,1
95.06,19.49,64.7,76.45,0
57.34,21.55,55.12,93.55,1
63.18,47.52,66.16,5.28,2
44.84,43.03,28.75,13.32,2
29.32,37.91,81.45,64.22,2
32.87,13.29,95.33,80.44,1
67.25,26.73,90.2,79.12,0
75.24,32.37,38.93,71.97,1
79.16,17.5,46.54,88.74,1
78.96,27.93,82.76,21.73,1
9.12,34.04,63.56,10.73,3
49.44,23.1,59.31,61.54,1
5.76,41.24,93.4,82.23,2
54.95,43.62,58.24,58.2,1
44.15,22.94,56.34,96.3,1
88.77,43.55,13.78,79.56,1
35.09,14.14,16.25,70.08,2
11.71,43.51,10.67,6.03,3
14.3,16.11,92.19,10.77,2
76.15,13.32,46.75,78.48,1
61.82,35.67,52.17,19.82,2
10.11,28.88,86.08,2.88,2
8.41,46.32,64.83,91.08,2
70.1,24.53,64.86,89.08,1
7.28,21.49,36.69,21.85,3
82.19,30.03,85.05,78.02,0
70.62,28.24,24.92,4.8,2
8.13,23.78,14.78,28.51,3
8.48,37.75,27.24,62.37,3
98.66,40.38,34.1,76.32,1
37.43,44.12,35.41,1.04,2
37.06,48.91,70.35,32.62,2
81.28,20.67,29.6,21.43,1
94.72,38.64,70.9,99.88,0
98.6,25.77,18.2,67.1,1
75.34,37.08,23.25,40.57,1
37.63,29.04,55.79,7.57,2
8.35,49.75,92.97,59.87,2
77.71,39.16,87.36,64.17,1
55.84,48.1,97.19,81.64,1
42.42,43.4,68.54,28.86,2
90.64,46.12,70.82,98.14,0
11.12,42.58,66.25,43.95,2
49.26,28.37,66.05,29.59,1
1.14,20.07,23.24,34.84,3
46.87,24.81,58.94,51.96,1
5.63,10.81,44.75,93.67,2
11.88,30.96,49.83,73.52,2
11.75,30.2,57.12,57.71,2
64.92,31.01,21.56,16.28,2
74.6,48.96,42.35,14.94,2
58.34,46.46,15.71,50.22,2
96.22,16.47,98.17,72.87,0
37.49,24.76,20.67,75.1,2
28.57,26.96,33.27,22.59,2
86.86,24.42,90.22,10.01,1
22.36,41.94,53.44,38.45,2
96.32,30.96,22.21,91.82,1
1.22,32.88,44.58,54.54,3
96.99,44.12,20.43,32.01,1
4.32,42.24,28.02,32.36,3
89.11,15.29,14.68,13.21,1
52.77,38.56,49.44,47.32,2
99.3,27.42,82.6,79.14,0
7.38,21.79,62.74,96.86,2
55.39,12.0,64.57,50.16,1
96.93,29.49,28.05,16.72,1
52.31,24.22,40.95,68.3,1
62.94,20.06,86.07,75.68,1
69.57,37.79,17.91,7.17,2
45.45,40.78,87.21,85.01,1
62.76,19.79,53.53,82.93,1
58.43,11.98,85.34,47.25,1
90.12,43.95,38.62,56.04,1
4.54,10.4,40.5,71.34,2
28.1,47.48,77.64,67.67,2
95.04,35.1,80.65,1.65,1
89.03,22.87,30.67,12.24,1
45.57,19.86,97.56,16.26,1
62.01,10.36,17.6,75.57,1
27.74,19.42,16.17,44.01,2
18.81,15.51,63.6,54.55,2
46.37,34.49,75.05,77.27,1
35.34,16.66,96.48,34.1,1
58.37,31.15,46.45,74.89,1
7.77,33.6,12.28,44.23,3
97.44,21.92,64.26,37.72,0
98.62,11.4,36.07,33.3,1
69.82,11.49,48.97,96.49,1
53.61,11.05,53.96,77.2,1
30.95,39.56,15.81,2.02,3
81.38,22.72,53.74,95.74,0
68.47,41.85,48.37,77.54,1
16.26,27.27,74.13,14.92,2
91.09,28.12,68.11,7.63,1
82.25,30.52,26.67,30.82,1
94.98,38.52,28.55,62.42,1
72.57,20.94,32.59,61.65,1
61.34,14.86,26.11,27.59,1
41.82,32.24,69.15,44.57,2
93.27,23.08,99.5,21.19,0
86.61,27.7,68.69,5.06,1
4.52,35.88,64.6,51.7,2
2.64,29.77,46.89,34.7,3
37.65,34.81,38.13,54.29,2
81.06,31.77,92.0,94.65,0
98.73,39.59,97.21,14.34,0
15.04,38.24,54.71,0.2,3
59.41,31.37,36.12,7.69,2
38.09,37.16,79.31,46.27,2
96.99,44.94,21.92,70.69,1
84.21,27.29,78.9,58.08,0
83.83,26.51,83.71,49.49,0
46.87,40.57,21.24,35.4,2
41.48,33.3,97.92,31.0,1
27.34,12.84,98.7,37.63,1
5.64,45.68,94.3,61.16,2
86.47,11.23,54.64,16.78,1
81.29,39.94,32.15,77.14,1
99.97,40.35,62.38,57.53,0
99.66,48.12,47.79,26.92,1
55.54,12.17,28.54,50.12,1
76.9,33.87,48.13,96.28,1
94.48,27.11,69.75,2.05,1
84.96,23.23,16.38,19.95,1
24.73,13.61,40.01,44.84,2
45.05,32.51,11.6,63.84,2
12.92,29.16,77.45,21.22,2
95.41,14.18,67.66,93.14,0
60.62,34.5,15.64,64.26,2
22.86,39.52,96.83,87.74,1
67.17,40.69,12.04,32.93,2
61.81,46.21,63.1,82.9,1
35.82,26.38,79.87,37.82,2
11.36,48.12,80.91,25.28,2
67.16,44.62,13.09,91.17,1
52.03,21.86,91.58,9.22,1
77.23,16.37,92.66,94.29,0
52.02,27.42,60.53,45.85,1
85.22,26.08,53.39,99.26,0
55.19,33.03,14.04,53.96,2
56.09,33.34,60.58,75.75,1
87.67,40.0,46.84,0.71,1
40.35,30.4,79.55,49.67,1
13.4,14.19,46.35,73.75,2
2.88,44.33,71.52,78.28,2
75.51,22.39,19.13,15.8,1
62.03,48.85,21.97,41.9,2
70.41,14.71,22.57,41.91,1
21.3,48.33,14.1,10.36,3
13.64,13.64,58.72,44.3,2
1.45,19.24,81.46,80.71,2
35.06,11.86,64.94,30.02,2
58.99,38.2,61.75,43.26,1
39.22,44.01,71.26,96.1,1
43.75,27.36,40.57,3.17,2
90.42,47.14,42.58,59.15,1
34.83,33.61,38.28,74.34,2
51.4,35.2,74.09,76.09,1
78.37,43.82,24.55,71.59,1
39.65,21.87,11.17,72.65,2
62.21,24.17,63.66,5.9,1
86.24,46.24,94.81,53.41,1
94.95,46.04,64.85,78.3,0
14.71,49.06,80.46,9.41,2
92.66,46.07,70.55,1.2,1
49.21,15.09,54.77,81.46,1
25.82,42.95,74.66,71.23,2
45.91,26.39,84.17,41.22,1
98.0,49.63,30.23,94.04,1
49.26,28.89,40.25,76.66,1
32.88,32.15,30.14,96.79,2
63.34,31.19,50.7,92.93,1
24.01,22.87,89.66,48.13,2
7.59,13.0,41.07,75.47,2
12.89,45.83,43.7,66.92,2
12.8,42.11,87.43,81.14,2
15.19,15.58,56.38,78.77,2
13.88,41.07,58.19,15.32,3
64.09,35.03,87.47,23.37,1
18.19,26.37,54.15,26.57,2
34.57,20.16,71.34,81.85,1
89.68,44.39,17.71,81.07,1
47.4,38.01,26.08,49.53,2
66.76,31.91,46.39,58.08,1
17.23,34.38,54.54,82.69,2
19.23,13.64,96.92,31.26,2
4.09,28.96,97.36,5.02,2
16.89,17.75,86.61,48.26,2
27.86,18.34,38.4,91.37,2
17.7,36.45,96.76,79.05,2
8.87,46.45,72.04,36.66,2
12.06,26.15,45.36,6.48,3
46.08,18.31,73.15,63.69,1
20.63,35.95,11.49,83.45,2
36.43,44.85,23.15,66.49,2
50.34,39.93,84.67,42.51,1
69.04,44.75,68.1,12.34,1
3.93,31.46,42.78,91.08,2
79.94,40.08,55.06,27.6,1
62.79,15.6,91.46,22.43,1
8.18,23.93,66.84,81.6,2
87.36,25.58,45.83,98.12,0
92.09,30.45,20.83,66.02,1
6.11,47.16,36.44,62.48,3
27.69,44.97,98.05,31.94,2
80.62,15.38,49.36,2.04,1
74.83,16.91,52.47,19.18,1
18.45,24.31,54.87,58.44,2
20.93,21.63,89.57,15.13,2
37.05,34.59,64.35,88.38,1
48.45,46.11,72.43,18.81,2
61.83,48.49,45.05,52.21,2
36.89,36.14,12.62,51.2,2
46.25,43.53,93.79,60.39,1
74.75,31.01,95.42,32.74,1
3.67,18.33,95.42,87.35,2
25.24,30.99,94.93,44.43,2
71.33,32.2,83.37,70.02,1
89.52,39.7,71.61,63.59,1
51.17,18.8,86.01,11.72,1
53.21,24.73,64.05,62.26,1
10.72,24.56,22.09,55.07,2
44.74,48.38,45.21,89.86,2
53.26,27.76,97.42,88.09,1
24.25,40.2,41.6,15.1,2
26.92,40.03,88.1,8.17,2
37.73,20.62,18.39,29.46,2
2.01,32.87,40.08,98.66,2
32.21,45.77,41.59,2.16,2
21.14,29.01,14.64,67.29,2
32.75,47.8,20.72,60.85,2
11.98,18.58,27.38,64.66,2
89.05,12.97,85.4,21.83,0
59.36,45.66,15.71,22.67,2
67.91,43.91,36.88,43.06,1
78.92,49.7,10.92,9.59,2
49.84,37.18,72.61,7.46,2
8.69,47.47,65.83,8.84,3
53.71,43.08,68.05,57.3,1
58.68,43.78,43.69,39.77,2
74.54,32.77,28.74,29.36,1
43.17,25.29,74.83,31.58,1
12.76,47.38,83.0,20.73,2
28.38,27.28,22.47,41.15,2
36.31,31.55,53.81,20.31,2
64.59,27.84,32.38,69.8,1
57.08,32.59,25.13,12.39,2
35.61,28.82,76.09,94.82,1
98.65,11.92,58.43,8.98,1
60.58,45.28,29.46,94.35,1
23.72,27.78,37.9,83.33,2
10.18,33.56,97.0,68.07,2
15.29,15.57,86.38,91.23,1
24.6,10.14,89.2,13.92,2
16.07,19.81,51.4,17.63,2
18.66,38.18,66.14,25.22,2
28.51,13.97,43.91,24.48,2
17.34,46.36,16.99,31.08,3
89.68,18.6,46.1,57.56,1
8.02,18.18,63.46,2.82,2
52.45,17.26,35.84,38.23,2
41.04,10.56,86.32,24.64,1
98.24,40.87,23.6,60.66,1
11.2,45.0,43.04,98.52,2
39.79,34.57,21.24,51.77,2
96.95,17.53,46.43,42.57,0
86.55,21.41,13.57,36.82,1
81.71,29.04,34.53,78.49,1
25.79,48.17,46.07,7.2,3
17.09,19.89,53.03,95.98,2
66.86,39.27,58.93,41.79,1
92.94,27.58,34.75,31.37,1
55.68,21.91,57.07,97.41,1
57.16,28.24,55.81,93.59,1
28.0,12.85,38.46,64.19,2
76.95,41.95,84.72,1.85,1
18.7,19.73,59.11,74.85,2
32.37,39.02,39.9,33.56,2
42.54,12.73,95.26,38.83,1
50.76,48.2,86.06,15.87,2
24.24,17.72,98.43,52.35,1
11.48,45.31,72.3,74.46,2
61.06,42.38,44.04,27.3,2
28.86,48.71,35.28,93.87,2
58.12,29.12,69.7,19.47,1
15.44,39.1,98.27,6.63,2
48.11,24.83,66.4,64.44,1
53.26,17.37,89.35,84.93,1
5.18,27.72,39.62,95.31,2
33.66,16.63,46.63,76.72,1
13.44,49.28,91.56,19.97,2
6.34,13.85,78.12,97.77,2
99.0,33.57,98.33,91.94,0
32.24,35.06,79.73,16.32,2
80.99,31.52,50.37,55.88,1
25.46,36.49,57.8,55.55,2
68.15,14.65,91.05,44.25,1
76.02,32.2,59.65,98.43,1
59.56,21.49,32.99,5.96,2
47.16,47.61,49.21,62.72,2
41.18,40.48,56.47,20.53,2
34.89,48.9,18.7,52.73,2
92.95,11.5,76.94,77.97,0
83.06,21.41,19.84,24.67,1
96.5,17.82,46.44,39.34,1
12.43,10.45,82.42,95.08,1
73.09,19.69,52.08,76.15,1
93.83,37.15,85.78,57.27,0
18.12,19.24,40.77,22.2,2
6.65,30.36,96.19,42.53,2
74.11,45.51,28.85,77.41,1
57.45,37.75,13.44,82.05,2
84.18,25.79,88.52,24.46,1
13.98,24.9,77.7,66.21,2
79.53,28.23,30.88,9.5,1
20.16,17.08,98.63,2.32,2
16.37,35.36,55.21,54.87,2
16.43,24.57,95.6,22.44,2
81.46,44.09,55.45,7.89,1
66.52,40.26,52.47,72.98,1
52.31,34.42,50.42,49.8,2
35.88,24.57,40.14,79.63,2
87.72,18.4,58.03,66.39,0
39.24,41.05,50.73,72.98,2
81.66,29.46,13.31,30.74,1
43.91,18.99,33.44,26.33,2
37.69,17.81,29.18,60.09,2
46.27,16.62,88.07,20.01,1
30.14,41.09,63.9,81.54,2
74.76,19.16,78.73,52.29,1
50.27,31.07,96.11,22.7,1
23.22,28.06,67.96,62.52,2
89.96,33.18,98.43,94.5,0
38.39,45.09,38.06,8.21,2
54.36,44.71,26.76,10.93,2
90.65,28.04,46.3,84.38,0
62.42,10.61,52.37,10.96,1
11.69,27.06,90.58,3.94,2
93.98,34.25,60.39,34.79,1
62.77,32.31,36.3,46.67,1
33.49,36.05,76.84,56.94,2
13.93,16.16,55.52,50.73,2
79.4,35.86,24.59,91.32,1
62.01,17.31,61.91,76.87,1
53.35,40.02,92.03,98.38,1
89.39,23.56,85.84,47.65,0
78.86,38.4,62.81,8.43,1
15.17,11.91,43.94,95.55,2
31.17,26.31,17.83,0.41,3
24.85,38.2,52.27,77.61,2
74.39,19.07,77.69,3.13,1
3.35,41.81,42.42,76.12,2
56.99,35.23,31.19,93.79,1
76.25,33.5,93.82,38.93,1
87.68,24.14,83.94,24.1,1
34.21,29.3,67.44,22.63,2
82.13,33.89,22.31,49.17,1
11.06,28.9,23.04,17.09,3
84.65,37.93,19.29,67.29,1
12.75,27.35,65.47,36.84,2
39.73,18.09,20.4,32.31,2
